pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K2-55 b,K2-55,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.84925800,3.820,14.00000,1.380000,0.070000,115.00,,88.210,10.460000,,4456.00,0.63,0.70,-0.784,4.67,,2.35056,,13.0624000
K2-57 b,K2-57,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,9.00630000,2.100,5.06000,3.000000,,24.10,,,25.700000,,4434.00,0.62,0.68,-0.830,4.68,,2.98676,,14.1038000
K2-58 b,K2-58,b,1,3,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,7.05254000,2.680,7.65000,2.180000,,118.00,,88.855,23.900000,,5413.00,0.86,0.89,-0.398,4.52,,2.00934,,12.1319000
K2-58 c,K2-58,c,1,3,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.53726000,1.620,3.26000,4.210000,,462.00,,86.100,7.914045,,5413.00,0.86,0.89,-0.412,4.52,,2.00934,,12.1319000
K2-58 d,K2-58,d,1,3,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,22.88270000,1.710,3.57000,3.920000,,24.60,,89.431,48.667611,,5413.00,0.86,0.89,-0.412,4.52,,2.00934,,12.1319000
K2-59 b,K2-59,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,20.69210000,2.410,6.39000,2.510000,,17.10,,,63.000000,,5055.00,0.73,0.77,-0.660,4.59,,4.00081,,13.9395000
K2-59 c,K2-59,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,11.29540000,2.300,5.90000,2.660000,,38.30,,,44.000000,,5055.00,0.73,0.77,-0.660,4.59,,4.00081,,13.9395000
K2-6 b,K2-6,b,1,1,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,30.94191000,2.500,6.80000,2.390000,,28.60,615,89.420,50.270000,,5850.00,0.96,0.97,-0.120,4.40,,1.84715,,12.5018000
K2-60 b,K2-60,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,3.00265000,7.656,135.39558,1.700000,0.000000,1212.00,1400,88.490,7.780000,G4 V,5500.00,1.12,0.97,0.282,4.07,10.000,0.99000,2.2000,12.6108000
K2-61 b,K2-61,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.57302000,2.480,6.71000,2.420000,,1686.00,,85.996,6.240000,,6293.00,1.36,1.21,-0.015,4.25,,1.43264,,12.8575000
K2-62 b,K2-62,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.67202000,2.140,5.22000,2.930000,,66.00,,89.100,29.874248,,4880.00,0.73,0.77,-0.727,4.60,,3.00696,,12.0433000
K2-62 c,K2-62,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,16.19660000,2.140,5.22000,2.930000,,20.50,,89.605,76.726395,,4880.00,0.73,0.77,-0.781,4.60,,3.00696,,12.0433000
K2-63 b,K2-63,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,20.25700000,3.220,10.50000,1.730000,,188.00,,,26.600000,,6771.00,1.63,1.40,0.219,4.15,,0.71318,,12.7269000
K2-63 c,K2-63,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,25.45560000,3.900,14.50000,1.340000,,139.00,,,36.500000,,6771.00,1.63,1.40,0.219,4.15,,0.71318,,12.7269000
K2-64 b,K2-64,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.53044000,2.070,4.94000,3.060000,,98.00,,,13.900000,,5312.00,0.73,0.74,-0.234,4.58,,1.97545,,13.9146000
