pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
124.26,3.92,14.6,1.33,0.055,,,59.0,
9.262,1.88,4.2,3.47,0.0,7.95,468.0,,
21.789,2.67,7.6,2.19,,2.56,352.0,,
241.883,6.1,30.9,0.748,0.18,,,,
767.887,10.0,71.6,0.393,0.33,,,,
73.94,4.67,19.66,1.06,0.44,,,,
1.2089819,1.577,4.91,6.93,0.0,315.0,1044.0,86.07,6.719
3.6480957,1.241,0.84,2.42,0.0,72.0,722.0,88.19,14.035
6.2014698,2.022,4.04,2.69,0.0,35.6,605.0,87.443,20.003
,33.6,6356.0,0.921,,,2650.0,,
,20.176,4258.7,2.85,,,2300.0,,
,14.179,3591.3,6.92,,,1050.0,,
3.822,3.66,13.02,1.46,0.109,,830.0,,
13.8508,2.24,5.63,2.75,0.363,,,,
15.53,2.46,6.624,2.45,0.05,,379.0,,
4.46529976,14.785,166.86075,0.282,0.0,,1322.0,85.634,9.853
4.88780244,4.36,26.69772,1.68,0.218,100.77,838.0,89.36,16.7184
3407.0,13.3,731.009,1.71,0.601,,,135.7,
3.2130598,10.749,67.059,0.3192,0.0,,963.0,89.0,11.77
2.91625,14.258,270.462,0.362,0.0133,,1740.0,83.4,5.8928
446.27,12.3,4538.421,13.4,0.6616,,340.0,,
4.62767,15.917,1093.3352,1.56,0.11,,1624.0,83.5,8.9
10.8635,11.882,616.5902,1.96,0.19,,904.0,89.1,19.25
2.77596,14.448,1332.605,2.42,0.036,,1626.0,86.6,7.17
10.33852,11.769,184.3414,0.64,0.35,,792.0,89.2,22.72
5584.0,13.1,1080.6,2.64,0.39,,,,
5.508023,11.153,62.61,0.25,0.084,,852.0,88.8,16.04
4.008778,12.689,92.802,0.25,0.067,,1010.0,88.2,12.24
5.6335158,10.66,2765.121,7.29,0.5172,,1540.0,86.16,10.28
2.875317,9.718,2302.899,13.78,0.015,,970.0,86.8,11.17
4.12448,12.442,1547.8321,4.6,0.23,,1283.0,87.2,9.65
3.21222,12.89,785.0401,2.14,0.02,,1463.0,86.9,8.58
1.21288,12.218,425.8922,1.406,0.11,,1951.0,85.1,4.16
3.35524,14.572,238.3725,0.44,0.07,,1637.0,88.6,7.61
3.65281514,12.722,180.84527,0.483,0.023,325.0,1182.0,88.22,10.9
4.23452,7.062,22.2481,0.4,0.12,,1001.0,88.6,13.09
3.039577,11.43,197.05,0.76,0.0,,,85.0,9.804
3.257215,13.585,198.953,0.44,0.051,,1384.0,88.0,8.43
