st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
,5442.0,0.86,0.9,-0.233,4.52,4.57,6.81343,,16.2352
,6021.0,1.11,1.08,0.165,4.38,3.47,0.98758,,14.1798
,4434.0,0.67,0.71,-0.822,4.64,2.95,0.2868,,15.1407
,5079.0,0.77,0.81,-0.423,4.58,5.01,9.67479,,14.5457
,5837.0,1.03,1.03,-0.085,4.42,4.37,1.25633,,15.2279
,5176.0,0.8,0.84,-0.426,4.57,4.79,3.0216,,15.3085
,5690.0,1.0,0.98,0.033,4.42,4.47,5.8464,,14.5121
,5690.0,1.0,0.98,0.033,4.42,4.47,0.50914,,14.5121
,5769.0,0.98,0.98,0.033,4.45,4.47,1.12051,,14.5121
,5769.0,0.98,0.98,0.033,4.45,4.47,1.18089,,14.5121
,5769.0,0.98,0.98,0.033,4.45,4.47,1.03249,,14.5121
,4540.0,0.69,0.74,-0.818,4.63,2.51,107.44923,,14.0831
,5282.0,0.81,0.86,-0.336,4.56,4.47,10.44514,,13.7908
,5564.0,0.99,0.94,0.07,4.41,8.51,0.92434,,12.5876
,6561.0,1.65,1.39,0.487,4.14,1.91,0.75391,35.0,13.4193
,4886.0,0.74,0.81,-0.606,4.61,2.34,2.06,,14.039
,5201.0,0.8,0.84,-0.277,4.57,4.47,4.68026,,15.0334
,5623.0,0.93,0.95,-0.13,4.48,3.72,1.92028,,15.368
,6078.0,1.18,1.12,0.222,4.34,3.39,0.71633,,13.4085
,5706.0,0.97,0.99,-0.307,4.46,4.37,4.0876,,15.2455
,5324.0,0.84,0.88,-0.273,4.54,4.79,1.90642,,15.1516
M0 V,4508.0,0.62,0.64,-1.21,4.68,2.9,1.00752,,14.24
M0 V,4508.0,0.62,0.64,-1.21,4.68,2.9,4.11,,14.24
,5991.0,1.11,1.07,0.119,4.38,3.55,1.46229,,14.8841
,6136.0,1.22,1.14,0.244,4.32,2.88,1.10553,,15.0975
,5202.0,0.78,0.85,-0.201,4.58,3.31,1.71,,14.9308
,5288.0,0.81,0.85,-0.338,4.56,4.57,2.03642,,14.9914
,5297.0,0.81,0.84,-0.393,4.56,4.68,2.48796,,15.7147
,5866.0,1.06,1.04,0.389,4.4,4.37,0.72654,,15.3259
,5608.0,0.95,0.97,-0.231,4.47,4.9,8.39086,,15.2978
,6099.0,1.17,1.11,0.119,4.34,3.31,2.12805,,15.2987
,5101.0,0.79,0.83,-0.48,4.57,4.9,3.74289,,13.5998
,5316.0,0.82,0.86,-0.276,4.55,4.27,1.67188,,14.488
,5094.0,0.81,0.84,-0.44,4.55,5.37,1.63761,,14.1564
,5094.0,0.81,0.84,-0.44,4.55,5.37,2.29229,,14.1564
,5815.0,1.02,1.02,-0.034,4.43,4.17,1.4164,,13.3846
,5957.0,1.11,1.07,-0.02,4.38,3.39,2.00283,,14.648
,5760.0,1.05,1.02,0.491,4.41,4.79,0.38317,,15.2729
,5765.0,0.99,1.0,-0.01,4.45,4.07,0.28641,,13.5682
,5528.0,0.9,0.93,-0.135,4.5,4.57,1.57821,,14.9531
,4940.0,0.73,0.76,-0.564,4.6,5.62,2.54419,,15.4317
,5254.0,0.81,0.84,-0.437,4.56,5.01,2.85988,,14.3122
,5655.0,0.93,0.95,-0.122,4.49,4.17,1.90062,,15.6322
,5956.0,1.19,1.09,0.258,4.32,4.57,0.54814,,13.9451
,6319.0,1.4,1.25,0.335,4.24,2.45,1.38609,,13.9323
,5774.0,1.04,1.02,0.091,4.39,4.07,1.38122,,14.0374
,5774.0,1.04,1.02,0.091,4.39,4.07,1.29576,,14.0374
,5866.0,1.03,1.02,0.091,4.42,4.07,6.4897,,14.0374
,5550.0,0.89,0.92,0.414,4.5,4.17,0.44967,,13.9702
,6297.0,1.39,1.23,0.194,4.24,2.34,3.3578,,13.77
,5618.0,0.95,0.97,0.373,4.47,4.79,2.94225,,13.7175
,5808.0,1.0,1.01,0.169,4.44,4.07,0.97758,,15.1693
,5892.0,1.08,1.06,0.156,4.4,3.8,0.96902,,15.0937
,5667.0,0.92,0.95,-0.037,4.49,4.17,2.61888,,15.4185
,5876.0,1.06,1.05,-0.063,4.4,4.07,1.59966,,13.3354
,4862.0,0.74,0.78,-0.607,4.6,4.27,2.23018,,15.0571
,5545.0,0.86,0.9,-0.165,4.53,4.27,2.0073,,15.3281
,4584.0,0.7,0.75,-0.94,4.63,2.24,2.42054,,15.2481
,4623.0,0.62,0.66,-0.757,4.66,13.9,0.50919,,14.4165
,4623.0,0.62,0.66,-0.757,4.66,13.9,2.46093,,14.4165
,6228.0,2.15,1.47,0.926,3.94,2.75,0.09572,,12.5755
,6022.0,1.23,1.12,0.391,4.31,4.17,0.50483,,12.3525
,3208.0,0.3,0.28,-2.389,4.93,7.76,26.12704,,16.4142
,5645.0,0.91,0.94,-0.018,4.49,4.27,1.12325,,12.8414
,6069.0,1.13,1.1,0.252,4.37,3.31,1.9881,,14.8844
,5538.0,0.91,0.94,-0.434,4.5,4.37,8.05131,,15.9772
,6681.0,1.75,1.45,0.183,4.12,1.7,1.35176,,13.0556
,5933.0,1.22,1.08,0.326,4.3,5.01,0.54468,,14.0315
,5817.0,0.99,0.96,0.32,4.43,5.5,1.26826,,13.821
,6166.0,1.25,1.18,0.329,4.32,2.75,0.62556,,14.9651
M0 V,4625.0,0.66,0.63,-0.754,4.65,2.51,5.02511,,14.8882
M0 V,4625.0,0.66,0.63,-0.754,4.65,2.51,4.00084,,14.8882
,6053.0,1.16,1.11,0.063,4.35,3.39,1.49506,,14.077
,6082.0,1.16,1.1,0.434,4.35,3.24,0.92539,,14.6583
,6213.0,1.28,1.18,0.507,4.29,2.69,0.58289,,14.7857
,4995.0,0.77,0.81,-0.652,4.59,3.63,2.14,,15.8836
,5946.0,1.08,1.06,0.0,4.39,3.89,3.63808,,14.7415
,5203.0,0.8,0.84,-0.363,4.56,4.68,2.74456,,15.4006
,5706.0,0.92,0.95,0.431,4.49,3.89,0.42377,,15.3662
,6377.0,1.39,1.25,0.434,4.24,2.4,0.816,,14.1152
,5940.0,1.09,1.07,-0.039,4.39,3.8,1.92063,,13.8135
,5767.0,0.99,0.99,0.241,4.45,4.27,0.78973,,14.9023
,4450.0,0.65,0.69,-0.903,4.65,3.8,3.563,,11.7472
,5471.0,1.12,0.97,0.004,4.47,1.6,1.2,,14.616
,5214.0,0.82,0.86,-0.339,4.55,4.68,2.68951,,15.8138
,5869.0,1.07,1.04,0.085,4.4,4.27,0.54774,,13.6782
,6296.0,1.36,1.22,0.201,4.25,2.51,1.21717,,13.3012
,6241.0,1.31,1.21,0.706,4.28,2.82,0.30293,,15.3397
,4976.0,0.76,0.81,-0.527,4.59,4.17,3.06854,,14.8989
,5280.0,0.82,0.86,0.429,4.55,4.68,2.95143,,12.4129
,5422.0,0.86,0.9,-0.171,4.53,4.27,1.19,,15.1062
,6116.0,1.21,1.14,0.709,4.33,3.16,0.25152,,13.8751
,4992.0,0.72,0.75,-0.537,4.61,5.13,1.98837,,15.8947
,6132.0,1.27,1.18,0.484,4.29,3.02,0.22412,,14.9366
,5078.0,0.81,0.86,-0.447,4.55,4.68,6.71333,,14.1922
,5078.0,0.81,0.86,-0.447,4.55,4.68,24.23054,,14.1922
,5383.0,0.87,0.91,-0.483,4.52,4.68,2.711,,15.8137
,5605.0,0.93,0.94,-0.113,4.49,5.01,0.30556,,14.4116
,5643.0,0.94,0.96,-0.188,4.48,4.57,1.72996,,14.7157
,6005.0,1.12,1.08,0.638,4.37,3.55,0.35882,,14.068
,5121.0,0.76,0.79,-0.271,4.58,5.5,1.34731,,15.9408
,5865.0,1.05,1.04,0.389,4.42,3.89,0.01114,,14.5237
,6266.0,1.34,1.21,0.638,4.26,2.75,0.28392,,13.4295
,6167.0,1.22,1.15,0.341,4.32,3.02,0.30973,,13.6555
,6620.0,1.65,1.41,0.69,4.15,1.78,0.77868,,13.5664
,5852.0,1.0,1.0,0.326,4.44,4.27,0.44411,,13.2994
,5816.0,0.96,0.95,0.155,4.44,3.02,1.64288,,14.2231
,5816.0,0.96,0.95,0.155,4.44,3.02,0.93116,,14.2231
,6157.0,1.23,1.15,0.293,4.31,3.02,4.11039,,13.6228
,6158.0,1.24,1.15,0.478,4.31,2.69,0.81792,,15.0106
,6436.0,1.5,1.31,0.373,4.2,2.19,0.82231,,13.3442
,5772.0,1.0,1.0,-0.172,4.44,4.27,3.20972,,14.9243
,3636.0,0.47,0.5,-1.323,4.78,4.47,4.32842,,15.6681
,5677.0,0.94,0.96,0.437,4.48,4.37,0.43238,,15.7627
,6826.0,1.85,1.51,0.611,4.08,1.55,0.98942,,14.2242
,5445.0,0.84,0.87,-0.303,4.54,4.68,3.00576,,13.0492
,3724.0,0.52,0.55,-1.33,4.74,5.13,4.31349,4.3,16.9534
,5776.0,1.01,1.01,-0.134,4.44,4.27,2.09831,5.9,12.7136
,5776.0,0.92,0.88,-0.138,4.52,4.27,2.11347,,14.3796
,5776.0,0.92,0.88,-0.138,4.52,4.27,3.42751,,14.3796
,4736.0,0.63,0.66,-0.646,4.66,5.01,7.73631,,14.2049
,5679.0,0.95,0.97,0.007,4.47,4.17,4.00557,,15.4951
,6137.0,1.19,1.12,0.406,4.33,3.09,0.47119,,13.066
,6256.0,1.32,1.2,0.646,4.27,2.82,0.15864,,13.3918
,5474.0,0.89,0.92,-0.265,4.51,4.47,1.46428,,14.486
,5347.0,0.85,0.89,-0.28,4.53,4.9,0.21977,,15.6928
,5797.0,1.02,1.01,0.237,4.43,3.98,0.6854,,15.7916
,5789.0,1.02,1.02,0.023,4.43,4.17,0.30143,,13.2726
,5710.0,0.95,0.97,-0.114,4.47,4.37,0.40427,,14.7479
,6150.0,1.18,1.12,0.145,4.34,3.16,2.98927,,14.4686
,5888.0,1.15,1.09,0.113,4.33,0.62,7.98815,,14.2329
,5888.0,1.15,1.09,0.113,4.33,0.62,3.3549,,14.2329
,5888.0,1.15,1.09,0.113,4.33,0.62,6.40225,,14.2329
,6324.0,1.43,1.27,0.47,4.23,2.4,0.27467,,14.9622
,6152.0,1.19,1.12,0.131,4.34,3.02,0.57811,,14.2231
,6152.0,1.19,1.12,0.131,4.34,3.02,1.39791,,14.2231
,5355.0,0.84,0.88,-0.405,4.54,4.47,6.63612,,14.1012
,5355.0,0.84,0.88,-0.405,4.54,4.47,5.96613,,14.1012
,5508.0,0.88,0.92,-0.472,4.52,3.89,3.35637,,13.8271
,5499.0,0.86,0.89,-0.215,4.53,4.27,1.00918,,14.1827
,5812.0,1.02,1.02,0.336,4.43,4.17,0.63558,5.0,14.4405
,3299.0,0.26,0.24,-1.78,5.01,4.68,9.78459,,15.6554
,6210.0,1.79,1.22,0.644,4.02,4.4,0.30649,8.4,13.579
,3240.0,0.23,0.2,-2.287,5.0,,22.91997,,16.2682
,5211.0,0.77,0.79,-0.472,4.54,10.5,0.42495,0.2,14.7945
,5211.0,0.77,0.79,-0.472,4.54,10.5,4.92783,0.2,14.7945
,3410.0,0.33,0.33,-1.871,4.86,13.9,8.73,,15.7393
,3713.0,0.5,0.52,-1.368,4.84,,4.1,1.1,13.0716
,3638.0,0.38,0.4,-1.638,4.88,3.2,7.05,,16.0023
,4807.0,0.69,0.72,-0.636,4.62,7.7,2.16,,
G5 V,5597.0,1.18,1.01,0.09,4.3,5.0,0.876,2.0,13.4057
G0 V,6148.0,1.03,1.03,0.143,4.36,2.56,1.3,3.5,11.0141
,5731.0,1.1,1.03,0.021,4.37,6.31,1.22864,2.8,11.0622
,6216.0,2.89,1.45,1.206,3.67,2.01,0.113,33.95,11.42
,5413.0,0.74,0.88,-0.385,4.62,0.8,3.3687,,14.6848
,5413.0,0.74,0.88,-0.385,4.62,0.8,2.832,,14.6848
,5350.0,0.83,0.88,-0.385,4.55,4.47,2.54733,,14.6848
K,5100.0,0.76,0.84,-0.513,4.66,2.0,4.62644,2.5,14.1933
,3844.0,0.63,0.61,-1.109,4.63,0.0,3.46716,,15.6164
,5735.81,1.07,0.94,0.05,4.35,8.2,12.2231,,13.5307
,5049.84,0.78,0.84,-0.45,4.58,13.9,2.52288,,13.5913
,6293.0,1.15,1.23,0.268,4.41,0.41,1.1526,,15.0151
,5941.54,1.09,1.09,0.123,4.4,4.7,1.19479,4.1,13.4461
,5542.0,1.02,0.98,-0.056,4.41,,1.31202,,15.6767
,4303.0,0.71,0.67,-0.803,4.56,13.9,2.59347,,15.9088
K4,4890.0,0.73,0.77,-0.57,4.61,3.3,2.88,2.0,14.0004
,5838.0,1.52,1.05,0.383,4.1,0.3,0.42245,,15.42
,5135.55,0.93,0.87,-0.266,4.44,13.4,1.51899,,13.2783
,6131.95,1.09,1.16,0.179,4.43,4.19,1.26837,,12.3961
,6014.95,1.13,1.11,0.179,4.38,0.3,1.07979,,13.5988
,5473.91,0.88,0.96,-0.206,4.53,0.5,2.00462,,15.4779
,5853.19,1.13,1.06,0.129,4.36,1.9,1.03943,,13.5535
,5878.3,1.06,1.07,0.084,4.47,0.3,12.66372,,
,6013.72,1.25,1.11,0.265,4.29,0.3,0.80203,,13.644
,5754.0,0.83,1.03,-0.162,4.61,0.3,2.49449,,14.9068
,5501.0,0.87,0.96,-0.201,4.54,0.4,2.03283,,15.1144
,6282.0,1.11,1.11,0.361,4.42,2.29,0.86387,,14.6046
,6282.0,1.11,1.11,0.361,4.42,2.29,0.96679,,14.6046
,5021.0,0.72,0.83,-0.524,4.64,13.8,3.10778,,13.6931
,5756.4,0.76,0.89,-0.293,4.54,3.3,3.45002,,14.5565
,5619.12,0.84,0.99,-0.196,4.58,5.7,2.3356,,15.678
,5429.0,0.9,0.95,-0.198,4.51,13.6,1.83523,,14.8429
,4706.54,0.67,0.75,-0.707,4.67,,3.56721,,15.765
,5484.0,0.84,0.96,-0.245,4.58,,2.321,,15.906
,5714.96,1.2,1.02,0.141,4.29,0.4,0.83322,,13.7519
,4132.0,0.73,0.65,-0.859,4.53,13.8,2.39362,,15.473
,4632.11,0.75,0.81,-0.636,4.6,14.0,3.14359,,13.9862
,5731.43,1.0,1.02,-0.016,4.45,2.5,1.45879,,12.1077
,4997.0,0.76,0.84,-0.496,4.58,13.8,2.62345,,14.1617
,4997.0,0.76,0.84,-0.496,4.58,13.8,2.61327,,14.1617
,4997.0,0.76,0.84,-0.496,4.58,13.8,0.36492,,14.1617
,4997.0,0.76,0.84,-0.496,4.58,13.8,0.96318,,14.1617
,4997.0,0.76,0.84,-0.496,4.58,13.8,3.27495,,14.1617
,5404.0,0.86,0.94,-0.243,4.54,8.5,2.06657,,14.6417
,6000.0,1.13,1.11,0.175,4.38,0.61,1.08021,,14.8807
,5146.0,0.87,0.87,-0.324,4.5,6.1,1.88766,,14.5049
,5432.34,0.88,0.95,-0.218,4.53,0.8,1.97682,,14.7438
,4954.0,0.76,0.82,-0.508,4.59,0.7,2.67254,,14.7519
,5473.19,0.99,0.96,-0.104,4.43,0.5,1.40696,,14.6234
,5712.0,1.2,1.02,0.139,4.29,,0.83614,,15.4879
,4681.53,0.77,0.75,-0.588,4.54,,2.28588,,13.3622
,4975.03,0.74,0.82,-0.518,4.61,,2.84025,,12.8761
,5575.53,0.72,0.81,-0.339,4.62,,9.94108,,14.6614
G2 V,5781.0,1.01,1.04,0.012,4.45,1.8,1.42165,6.0,14.1311
,5679.0,1.03,1.09,-0.055,4.45,1.8,0.91343,,14.3469
,5679.0,1.03,1.09,-0.055,4.45,1.8,2.08535,,14.3469
,6031.0,1.09,1.12,0.154,4.41,,1.20694,,13.6285
,5146.0,0.84,0.87,-0.351,4.53,,2.06781,,14.5504
,5093.0,0.73,0.85,-0.496,4.65,,3.135,,15.7743
,5642.0,0.84,0.91,-0.079,4.57,3.47,1.82708,,14.9053
,5642.0,0.84,0.91,-0.079,4.57,3.47,6.28804,,14.9053
,5642.0,0.84,0.91,-0.079,4.57,3.47,0.65169,,14.9053
,5526.0,1.08,1.0,-0.032,4.38,6.46,1.58662,,14.5369
,5526.0,1.08,1.0,-0.032,4.38,6.46,1.59738,,14.5369
,5526.0,1.08,1.0,-0.032,4.38,6.46,1.98664,,14.5369
,5526.0,1.08,1.0,-0.032,4.38,6.46,6.81939,,14.5369
,6031.0,0.95,0.79,0.074,4.4,3.3,2.66952,,14.2578
,6031.0,0.95,0.79,0.074,4.4,3.3,2.36963,,14.2578
,4880.0,0.62,0.6,-0.57,4.68,4.9,4.9616,,14.2858
,4880.0,0.62,0.6,-0.57,4.68,4.9,2.8723,,14.2858
,4880.0,0.62,0.6,-0.57,4.68,4.9,3.3395,,14.2858
,6064.0,1.01,1.12,0.194,4.47,3.39,1.02936,,14.9115
,6064.0,1.01,1.12,0.194,4.47,3.39,0.71902,,14.9115
,5232.0,0.89,0.79,-0.404,4.47,13.7,3.56337,,14.5446
,5232.0,0.89,0.79,-0.404,4.47,13.7,2.45566,,14.5446
,5232.0,0.89,0.79,-0.404,4.47,13.7,7.12817,,14.5446
,5295.0,0.83,0.87,-0.404,4.55,4.68,3.09428,,14.5446
,5732.0,1.32,0.92,0.24,4.1,1.8,0.7906,,14.9414
,5732.0,1.32,0.92,0.24,4.1,1.8,0.56415,,14.9414
,5676.0,1.07,0.94,-0.208,4.33,11.3,2.32199,,14.5782
,5676.0,1.07,0.94,-0.208,4.33,11.3,10.59769,,14.5782
,5676.0,1.07,0.94,-0.208,4.33,11.3,4.04888,,14.5782
,5302.0,0.76,0.84,-0.278,4.61,0.6,3.16386,3.0,14.6031
,5302.0,0.76,0.84,-0.278,4.61,0.6,3.92897,3.0,14.6031
,5345.0,1.11,0.97,-0.031,4.31,10.0,1.01,4.0,13.5393
,5731.0,1.06,0.95,-0.132,4.34,9.7,2.24939,,14.325
,5731.0,1.06,0.95,-0.132,4.34,9.7,1.66339,,14.325
,5333.0,0.75,0.85,-0.379,4.62,0.5,3.54077,,14.7137
,5333.0,0.75,0.85,-0.379,4.62,0.5,4.86015,,14.7137
,6250.0,1.15,1.16,0.344,4.4,3.09,0.19037,,14.8737
,6250.0,1.15,1.16,0.344,4.4,3.09,0.37705,,14.8737
,5888.0,0.96,0.94,0.026,4.5,4.27,4.45432,,14.8934
,5888.0,0.96,0.94,0.026,4.5,4.27,2.80492,,14.8934
,5788.0,0.87,0.97,-0.225,4.51,1.7,2.7003,,14.3115
,5788.0,0.87,0.97,-0.225,4.51,1.7,1.57943,,14.3115
,5788.0,0.87,0.97,-0.225,4.51,1.7,0.51622,,14.3115
,5208.0,0.81,0.81,-0.504,4.54,11.9,2.85831,,14.4426
,5208.0,0.81,0.81,-0.504,4.54,11.9,8.08961,,14.4426
M1,3788.0,0.47,0.48,-1.385,4.77,4.0,6.4,,14.5994
M1,3755.0,0.52,0.54,-1.26,4.74,4.0,5.29,,14.5994
,6105.0,1.29,1.11,0.493,4.27,3.72,0.4131,,14.1753
,6105.0,1.29,1.11,0.493,4.27,3.72,0.17649,,14.1753
,6021.0,1.14,0.98,0.034,4.35,5.8,2.68246,6.3,14.6336
,6021.0,1.14,0.98,0.034,4.35,5.8,0.98292,6.3,14.6336
,5235.0,0.75,0.79,-0.448,4.62,0.7,2.31395,,14.8213
,5235.0,0.75,0.79,-0.448,4.62,0.7,1.45819,,14.8213
,5544.0,0.86,0.94,-0.161,4.51,1.9,2.20846,2.0,11.8763
,5544.0,0.86,0.94,-0.183,4.51,1.9,2.20846,2.0,11.8763
,5106.0,0.8,0.86,-0.441,4.56,3.72,2.77228,,14.1175
,5106.0,0.8,0.86,-0.441,4.56,3.72,9.62119,,14.1175
,5282.0,0.79,0.81,-0.414,4.59,0.9,3.25127,,14.7758
,5282.0,0.79,0.81,-0.414,4.59,0.9,1.08804,,14.7758
,5215.0,0.8,0.84,-0.414,4.56,4.9,3.18252,,14.7758
,5479.0,1.01,0.94,-0.094,4.43,0.5,1.49679,,14.1039
,5479.0,1.01,0.94,-0.094,4.43,0.5,0.29429,,14.1039
,5487.0,0.94,0.94,-0.094,4.46,6.76,1.6048,,14.1039
,6335.0,1.15,1.14,0.1,4.4,0.3,2.112,,14.596
,6335.0,1.15,1.14,0.1,4.4,0.3,2.1866,,14.596
,6089.0,1.02,1.09,0.043,4.42,2.5,1.19508,,14.9117
,6089.0,1.02,1.09,0.043,4.42,2.5,1.16924,,14.9117
,6089.0,1.02,1.09,0.043,4.42,2.5,1.21039,,14.9117
,5329.0,0.78,0.84,-0.367,4.6,0.7,2.41247,,14.7989
,5329.0,0.78,0.84,-0.367,4.6,0.7,4.09059,,14.7989
,5128.0,0.78,0.85,-0.393,4.57,3.98,6.58628,,14.1033
,5128.0,0.78,0.85,-0.393,4.57,3.98,3.11234,,14.1033
,6004.0,1.12,0.86,0.222,4.3,5.37,0.9219,,11.78
,6004.0,1.12,0.86,0.222,4.3,5.37,1.09836,,11.78
,6004.0,1.12,0.86,0.222,4.3,5.37,0.93309,,11.78
,6004.0,1.12,0.86,0.222,4.3,5.37,0.87104,,11.78
,5574.0,0.94,0.97,-0.109,4.47,3.72,1.84772,,13.5662
,5574.0,0.94,0.97,-0.109,4.47,3.72,1.12085,,13.5662
,5636.0,0.93,0.97,-0.109,4.49,3.72,2.06258,,13.5662
,5644.0,0.97,0.96,-0.097,4.44,1.45,1.70087,,13.5973
,5644.0,0.97,0.96,-0.097,4.44,1.45,1.88919,,13.5973
,5495.0,0.96,0.95,-0.165,4.45,7.6,2.20611,2.0,12.4535
,5495.0,0.96,0.95,-0.165,4.45,7.6,1.41039,2.0,12.4535
,5495.0,0.96,0.95,-0.165,4.45,7.6,1.81167,2.0,12.4535
,5495.0,0.96,0.95,-0.165,4.45,7.6,1.51,2.0,12.4535
,5495.0,0.96,0.95,-0.189,4.45,7.6,1.81167,2.0,12.4535
,5678.0,0.94,0.98,0.008,4.45,6.3,0.13059,,13.9518
,5678.0,0.94,0.98,0.008,4.45,6.3,60.86001,,13.9518
,6065.0,1.23,1.18,0.348,4.29,2.19,0.81794,,12.9199
,6065.0,1.23,1.18,0.348,4.29,2.19,0.83509,,12.9199
,4668.0,0.67,0.68,-0.638,4.65,3.24,4.24656,,13.8433
,4668.0,0.67,0.68,-0.638,4.65,3.24,4.74396,,13.8433
,5821.0,1.11,1.0,0.094,4.36,0.5,1.56956,,13.9421
,5821.0,1.11,1.0,0.094,4.36,0.5,5.54994,,13.9421
,5821.0,1.11,1.0,0.094,4.36,0.5,0.98943,,13.9421
,5812.0,1.24,1.03,0.03,4.27,3.3,0.70051,,13.8745
,5812.0,1.24,1.03,0.03,4.27,3.3,2.33315,,13.8745
M1 V,4321.0,0.55,0.59,-0.956,4.74,3.16,1.97675,,13.4947
M1 V,4321.0,0.55,0.59,-0.956,4.74,3.16,4.27115,,13.4947
,5764.0,1.19,1.05,0.084,4.31,7.0,0.86142,,13.4609
,5764.0,1.19,1.05,0.084,4.31,7.0,0.9486,,13.4609
,5920.0,1.59,1.04,0.534,4.13,4.17,0.29599,,13.1671
,6092.0,1.31,1.16,0.309,4.26,4.37,1.00597,,13.5376
,6092.0,1.31,1.16,0.309,4.26,4.37,1.01679,,13.5376
,6092.0,1.31,1.16,0.309,4.26,4.37,1.26617,,13.5376
,6092.0,1.31,1.16,0.309,4.26,4.37,1.98469,,13.5376
,5513.0,0.94,0.93,-0.129,4.47,4.47,5.40911,,13.9517
,5513.0,0.94,0.93,-0.129,4.47,4.47,1.96069,,13.9517
F6 IV,6305.0,1.9,1.41,0.715,4.03,3.03,0.287,8.4,8.12832
M0 V,4559.0,0.65,0.77,-0.799,4.66,1.78,4.67612,,13.8043
M0 V,4559.0,0.65,0.77,-0.799,4.66,1.78,1.19397,,13.8043
,5123.0,0.82,0.9,-0.413,4.55,1.55,2.96587,,13.2732
,5123.0,0.82,0.9,-0.413,4.55,1.55,3.15683,,13.2732
,5852.0,1.46,1.17,0.383,4.18,2.5,0.44891,,12.9872
,5852.0,1.46,1.17,0.383,4.18,2.5,0.48859,,12.9872
,5696.0,1.2,1.07,0.082,4.31,1.62,3.62663,,13.6023
,5696.0,1.2,1.07,0.082,4.31,1.62,73.71993,,13.6023
,6169.0,1.35,1.11,0.511,4.25,1.58,0.40253,,13.9058
,6169.0,1.35,1.11,0.511,4.25,1.58,0.05254,,13.9058
,5739.0,1.03,0.94,-0.117,4.36,1.62,0.58171,,13.5549
,5739.0,1.03,0.94,-0.117,4.36,1.62,1.45716,,13.5549
,5739.0,1.03,0.94,-0.117,4.36,1.62,8.36305,,13.5549
,5739.0,1.03,0.94,-0.117,4.36,1.62,2.35964,,13.5549
,6091.0,1.26,1.11,0.518,4.28,0.28,0.43582,,13.9607
,6091.0,1.26,1.11,0.518,4.28,0.28,0.48258,,13.9607
,6171.0,1.8,1.14,0.754,4.03,2.63,0.3447,,13.1207
,6341.0,1.76,1.37,0.754,4.08,2.63,0.3447,,13.1207
,5502.0,1.06,1.02,0.009,4.39,6.3,1.10283,,13.9069
,5502.0,1.06,1.02,0.009,4.39,6.3,1.61812,,13.9069
,5542.0,1.02,1.01,0.009,4.42,5.62,1.25905,,13.9069
,5786.0,1.49,1.17,0.214,4.16,4.0,1.06034,,13.7179
,5786.0,1.49,1.17,0.214,4.16,4.0,0.73757,,13.7179
,5786.0,1.49,1.17,0.214,4.16,4.0,2.12046,,13.7179
G5 V,5518.0,0.98,0.97,-0.102,4.44,7.08,1.458,0.6,11.6444
,4632.0,0.67,0.65,-0.676,4.65,6.0,2.15978,,12.8566
,4632.0,0.67,0.65,-0.676,4.65,6.0,2.827,,12.8566
,5243.0,0.82,0.82,-0.404,4.54,4.57,2.81128,,13.7486
,5243.0,0.82,0.82,-0.404,4.54,4.57,3.30553,,13.7486
,5243.0,0.82,0.82,-0.404,4.54,4.57,5.44198,,13.7486
,5243.0,0.82,0.82,-0.404,4.54,4.57,15.25458,,13.7486
,5433.0,0.87,0.88,-0.338,4.55,0.7,4.36488,,15.0603
,5433.0,0.87,0.88,-0.338,4.55,0.7,2.44462,,15.0603
,5433.0,0.87,0.88,-0.338,4.55,0.7,2.17808,,15.0603
,5803.0,1.72,1.12,0.371,4.46,7.2,0.4236,,15.3951
,5803.0,1.72,1.12,0.371,4.46,7.2,0.27849,,15.3951
,5803.0,1.72,1.12,0.371,4.46,7.2,0.58731,,15.3951
,5803.0,1.72,1.12,0.371,4.46,7.2,0.00401,,15.3951
,5018.0,0.68,0.82,-0.514,4.64,2.29,2.69909,,15.6358
,5018.0,0.68,0.82,-0.514,4.64,2.29,0.52473,,15.6358
,5018.0,0.68,0.82,-0.514,4.64,2.29,3.47552,,15.6358
,5018.0,0.68,0.82,-0.514,4.64,2.29,31.06171,,15.6358
M1 V,3682.0,0.48,0.59,-0.996,4.78,2.88,2.7212,,15.9504
M1 V,3682.0,0.48,0.59,-0.996,4.78,2.88,4.09291,,15.9504
,5571.0,0.8,0.91,-0.239,4.59,0.5,2.13629,,15.4026
,5571.0,0.8,0.91,-0.239,4.59,0.5,1.73782,,15.4026
,5571.0,0.8,0.91,-0.239,4.59,0.5,1.5302,,15.4026
,5854.0,1.09,0.92,-0.121,4.4,7.7,3.20796,,15.3234
,5854.0,1.09,0.92,-0.121,4.4,7.7,5.82788,,15.3234
,6043.0,1.01,0.95,0.111,4.47,0.3,1.55056,,15.7042
,6043.0,1.01,0.95,0.111,4.47,0.3,0.30732,,15.7042
,6043.0,1.01,0.95,0.111,4.47,0.3,1.00902,,15.7042
,5120.0,0.73,0.8,-0.538,4.63,1.1,3.16464,,15.8265
,5120.0,0.73,0.8,-0.538,4.63,1.1,3.66603,,15.8265
,5120.0,0.73,0.8,-0.538,4.63,1.1,3.9471,,15.8265
,5760.0,1.52,1.11,0.362,4.0,6.0,0.45155,,13.4015
,5760.0,1.52,1.11,0.362,4.0,6.0,0.42989,,13.4015
