st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K3,4684.0,0.67,0.69,-0.751,4.62,,3.19,,14.4776
K3,4684.0,0.67,0.69,-0.804,4.62,,3.19,,14.4776
,5523.0,1.01,0.94,-0.215,4.47,,1.442,,13.8183
G5 V,5617.0,0.98,0.97,-0.119,4.45,5.0,1.35,2.62,11.9535
F5 V,6202.0,1.59,1.32,0.526,4.16,3.02,0.465,74.92,11.2549
,4898.0,2.7,0.9,0.548,3.52,,0.064,,12.1722
G8 IV/V,5430.0,1.71,1.05,0.356,3.99,9.0,0.298,2.1,11.4019
M7.25,2838.0,,0.05,-0.699,,0.001,,,15.2412
M2.5 V,3348.0,0.31,0.29,-1.971,4.93,9.9,14.11,2.0,12.7331
M5.5 V,2953.0,0.16,0.12,-2.77,5.16,7.0,47.5619,2.5,10.9889
M4.5 V,3270.0,0.21,0.18,-2.359,4.88,5.0,15.4,2.0,12.138
M4.5 V,3270.0,0.21,0.18,-2.359,5.02,5.0,23.78462,2.0,12.138
M5,3287.0,0.36,0.34,-1.869,4.87,,10.52554,,10.5769
M4.5,3114.0,0.2,0.17,-2.463,5.06,,29.34709,,11.6938
M4.5,3026.0,0.22,0.15,-2.312,4.94,3.0,26.20204,2.0,13.0089
M3,3458.0,0.39,0.38,-1.708,4.89,,8.99304,,11.2364
M4.5 V,3236.0,0.19,0.18,-2.439,5.09,,,2.0,12.0807
K4.5,4640.0,0.69,0.73,-0.686,4.61,3.8,3.03,,7.67906
M1,3607.0,0.38,0.38,-1.655,4.87,,8.37411,1.09,7.2162
M0 V,4347.0,0.66,0.69,-0.796,4.61,,3.12966,,9.20154
M,3500.0,0.41,0.4,-1.708,4.82,6.0,8.24778,,10.6771
M3.5 V,3370.0,0.38,0.36,-1.796,4.83,,9.67547,1.5,10.7055
M2 V,3371.0,0.41,0.43,-1.886,4.81,,8.12507,,9.93395
M3,3811.5,0.41,0.43,-1.609,4.81,,8.12507,,9.93395
M0V:,4069.95,0.71,0.62,-0.905,4.48,,2.07397,,9.72281
M1.5V,3912.54,0.46,0.58,-1.222,4.69,0.4,4.64116,1.0,7.30724
M1/M2 V,3564.0,0.46,0.58,-1.553,4.69,0.4,4.64116,1.0,7.30724
M3.0 V,3451.0,0.36,0.36,-1.772,4.96,,10.05319,2.0,8.85518
M0.5 V,3542.0,0.52,0.53,-1.585,4.72,,5.21124,,10.579
M3.5,3382.0,0.29,0.29,-2.056,4.91,,13.19438,,
G6 V,5540.0,0.9,0.9,-0.18,4.7,0.37,2.0094,5.5,6.39729
M4,3910.0,0.47,0.47,-1.463,4.77,,6.47822,,10.2011
M0,3717.0,0.5,0.68,-1.347,4.63,,3.47127,,10.1924
M2.5 V,3510.0,0.43,0.42,-1.687,4.8,5.0,7.64772,,10.7539
M1,3900.0,0.65,0.69,-0.993,4.61,,3.21063,,9.2861
M2.5,3466.0,0.4,0.42,-1.658,4.78,,6.89996,,10.9788
M4,3159.0,0.12,0.16,-2.569,,,,,10.6467
M2.5,3526.0,0.44,0.47,-1.538,4.77,,6.49365,,11.1029
