discoverymethod,disc_locale,disc_facility,disc_telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit Timing Variations,Space,Kepler,0.95 m Kepler Telescope
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit Timing Variations,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
