discoverymethod,disc_locale,disc_facility,disc_telescope
Transit,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Transit,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Facilities,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Facilities,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope
Radial Velocity,Ground,Multiple Facilities,Multiple Telescopes
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Transit,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Transit,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope
Radial Velocity,Multiple Locales,Multiple Observatories,Multiple Telescopes
Radial Velocity,Multiple Locales,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Radial Velocity,Ground,Haute-Provence Observatory,1.93 m Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Facilities,Multiple Telescopes
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Imaging,Ground,Subaru Telescope,8.2 m Subaru Telescope
Radial Velocity,Ground,La Silla Observatory,null 3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Paranal Observatory,Very Large Telescope (Antu)
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Qatar,Canon 400mm f/2.8L
Radial Velocity,Ground,Lick Observatory,2.4 m Automated Planet Finder Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Radial Velocity,Ground,Haute-Provence Observatory,1.93 m Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Imaging,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope
Imaging,Ground,Palomar Observatory,5.1 m Hale Telescope
Imaging,Ground,Gemini Observatory,8.19 m Gemini South Telescope
Radial Velocity,Ground,Haute-Provence Observatory,1.93 m Telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
