system_name,sy_snum,sy_pnum,sy_mnum
HD 13189,1,1,0
HD 132406,1,1,0
HD 132563,3,1,0
HD 133131 A,2,3,0
HD 133131 B,2,3,0
HD 134060,1,2,0
HD 134987,1,2,0
HD 136352,1,3,0
HD 136418,1,1,0
HD 137388,1,1,0
HD 13808,1,2,0
HD 13908,1,2,0
HD 13931,1,1,0
HD 139357,1,1,0
HD 1397,1,1,0
HD 14067,1,1,0
HD 141399,1,4,0
HD 141937,1,1,0
HD 142,2,2,0
HD 142022 A,2,1,0
HD 142245,3,1,0
HD 142415,1,1,0
HD 143105,1,1,0
HD 143361,1,1,0
HD 145377,1,1,0
HD 145457,1,1,0
HD 145934,1,1,0
HD 1461,1,2,0
HD 147018,1,2,0
HD 147379,2,1,0
HD 147513,2,1,0
HD 14787,1,1,0
HD 147873,2,2,0
HD 148156,1,1,0
HD 148164,1,2,0
HD 148427,1,1,0
HD 149026,1,1,0
HD 149143,1,1,0
HD 1502,1,1,0
HD 150706,1,1,0
HD 152079,1,1,0
HD 152581,1,1,0
HD 15337,1,2,0
HD 153950,1,1,0
HD 154345,1,1,0
HD 154672,1,1,0
HD 154857,1,2,0
HD 155233,2,1,0
HD 155358,1,2,0
HD 156279,1,2,0
HD 156411,1,1,0
HD 156668,1,1,0
HD 156846,2,1,0
HD 158038,1,1,0
HD 158259,1,5,0
HD 158996,1,1,0
HD 159243,1,2,0
HD 159868,1,2,0
HD 1605,1,2,0
HD 160691,1,4,0
HD 16141,2,1,0
HD 16175,1,1,0
HD 162020,1,1,0
HD 163607,1,2,0
HD 16417,2,1,0
HD 164509,2,1,0
HD 164595,2,1,0
HD 164604,1,1,0
HD 164922,1,3,0
HD 165155,1,1,0
HD 1666,1,1,0
HD 166724,1,1,0
HD 167042,1,1,0
HD 168443,1,2,0
HD 168746,1,1,0
HD 1690,1,1,0
HD 169830,1,2,0
HD 170469,2,1,0
HD 17092,1,1,0
HD 171028,1,1,0
HD 171238,1,1,0
HD 17156,1,1,0
HD 173416,1,1,0
HD 175167,1,1,0
HD 175541,1,1,0
HD 175607,1,1,0
HD 17674,1,1,0
HD 176986,1,2,0
HD 177565,1,1,0
HD 177830,2,2,0
HD 178911 B,3,1,0
HD 179079,1,1,0
HD 179949,1,1,0
HD 180053,1,1,0
HD 18015,1,1,0
HD 180314,1,1,0
HD 180617,2,1,0
HD 180902,2,1,0
HD 181234,1,1,0
HD 181342,1,1,0
HD 181433,1,3,0
HD 181720,1,1,0
HD 183263,1,2,0
HD 183579,1,1,0
HD 185269,3,1,0
HD 187085,1,1,0
HD 187123,1,2,0
HD 18742,1,1,0
HD 188015,2,1,0
HD 189733,2,1,0
HD 190007,1,1,0
HD 190360,2,2,0
HD 190647,1,1,0
HD 190984,1,1,0
HD 191806,1,1,0
HD 191939,1,3,0
HD 192263,1,1,0
HD 192310,1,2,0
HD 192699,1,1,0
HD 195019,2,1,0
HD 196050,3,1,0
HD 196067,2,1,0
HD 196885 A,2,1,0
HD 197037,2,1,0
HD 19994,3,1,0
HD 20003,1,2,0
HD 200964,1,2,0
HD 202206,2,1,0
HD 202696,1,2,0
HD 202772 A,2,1,0
HD 203030,1,1,0
HD 203473,1,1,0
HD 2039,1,1,0
HD 204313,1,2,0
HD 204941,2,1,0
HD 205739,1,1,0
HD 206255,1,1,0
HD 206610,1,1,0
HD 20781,2,5,0
HD 20782,2,5,0
HD 207832,3,2,0
HD 20794,1,4,0
HD 208487,1,1,0
HD 208527,1,1,0
HD 20868,1,1,0
HD 208897,1,1,0
HD 209458,1,1,0
HD 210193,1,1,0
HD 210277,1,1,0
HD 210702,1,1,0
HD 211810,1,1,0
HD 211970,1,1,0
HD 212301,2,1,0
HD 212771,1,1,0
HD 213240,2,1,0
HD 213885,1,2,0
HD 21411,1,1,0
HD 214823,2,1,0
HD 215152,1,4,0
HD 215497,1,2,0
HD 216435,1,1,0
HD 216437,1,1,0
HD 216520,1,2,0
HD 216536,1,1,0
HD 216770,1,1,0
HD 21693,1,2,0
HD 217107,1,2,0
HD 217786,2,1,0
HD 217850,1,1,0
HD 218566,1,1,0
HD 219077,1,1,0
HD 219134,1,6,0
HD 219415,1,1,0
HD 219666,1,1,0
HD 219828,1,2,0
HD 220074,1,1,0
HD 220197,1,1,0
HD 220689,1,1,0
HD 220773,1,1,0
HD 220842,2,1,0
HD 221287,1,1,0
HD 221416,1,1,0
HD 221420,1,1,0
HD 221585,1,1,0
HD 222076,1,1,0
HD 222155,1,1,0
HD 222582,2,1,0
HD 224538,1,1,0
HD 224693,1,1,0
HD 22781,1,1,0
HD 23079,1,1,0
HD 23127,1,1,0
HD 231701,1,1,0
HD 233604,1,1,0
HD 233832,2,1,0
HD 23472,1,2,0
HD 23596,2,1,0
HD 238090,1,1,0
HD 238914,1,1,0
HD 240210,1,1,0
HD 240237,1,1,0
HD 24040,1,1,0
HD 24064,1,1,0
HD 24085,1,1,0
HD 25015,1,1,0
HD 25171,2,1,0
HD 2638,3,1,0
HD 2685,1,1,0
HD 26965,3,1,0
HD 27442,2,1,0
HD 27631,1,1,0
HD 27894,1,3,0
HD 28185,1,1,0
HD 28254,2,1,0
HD 285507,1,1,0
HD 285968,1,1,0
HD 28678,1,1,0
HD 29021,1,1,0
HD 290327,1,1,0
HD 2952,1,1,0
HD 30177,1,2,0
HD 30562,1,1,0
HD 30669,1,1,0
HD 30856,2,1,0
HD 31253,1,1,0
HD 31527,1,3,0
HD 3167,1,3,0
HD 32518,1,1,0
HD 32963,1,1,0
HD 330075,1,1,0
HD 33142,1,2,0
HD 332231,1,1,0
HD 33283,2,1,0
HD 33564,1,1,0
HD 33844,1,2,0
HD 34445,1,6,0
HD 35759,1,1,0
HD 3651,1,1,0
HD 37124,1,3,0
HD 37605,1,2,0
HD 38283,1,1,0
HD 38529,2,2,0
HD 38801,1,1,0
HD 39091,1,2,0
HD 39855,1,1,0
HD 40307,1,5,0
HD 40956,1,1,0
HD 40979,3,1,0
HD 41004 A,2,2,0
HD 41004 B,2,2,0
HD 4113,3,1,0
HD 42012,1,1,0
HD 4203,1,2,0
HD 4208,1,1,0
HD 42618,1,1,0
HD 4308,1,1,0
HD 4313,1,1,0
HD 43197,1,1,0
HD 43691,3,1,0
HD 44219,1,1,0
HD 45184,1,2,0
HD 45350,1,1,0
HD 45364,1,2,0
HD 45652,1,1,0
HD 46375,2,1,0
HD 47186,1,2,0
HD 4732,2,2,0
HD 47366,1,2,0
HD 47536,1,1,0
HD 4760,1,1,0
HD 48265,1,1,0
HD 4917,1,1,0
HD 49674,1,1,0
HD 50499,1,2,0
HD 50554,1,1,0
HD 51608,1,2,0
HD 52265,1,1,0
HD 5278,1,2,0
HD 5319,1,2,0
HD 55696,1,1,0
HD 5583,1,1,0
HD 5608,1,1,0
HD 564,1,1,0
HD 5891,1,1,0
HD 59686 A,2,1,0
HD 60292,1,1,0
HD 60532,1,2,0
HD 62509,1,1,0
HD 63433,1,2,0
