pl_name,pl_letter
HD 125595 b,b
HD 125612 b,b
HD 125612 c,c
HD 125612 d,d
HD 12648 b,b
HD 126525 b,b
HD 12661 b,b
HD 12661 c,c
HD 126614 b,b
HD 128311 b,b
HD 128311 c,c
HD 128356 b,b
HD 129445 b,b
HD 130322 b,b
HD 131496 b,b
HD 131664 b,b
HD 13167 b,b
HD 13189 b,b
HD 132406 b,b
HD 132563 b,b
HD 133131 A b,b
HD 133131 A c,c
HD 133131 B b,b
HD 134060 b,b
HD 134060 c,c
HD 134987 b,b
HD 134987 c,c
HD 136352 b,b
HD 136352 c,c
HD 136352 d,d
HD 136418 b,b
HD 137388 b,b
HD 13808 b,b
HD 13808 c,c
HD 13908 b,b
HD 13908 c,c
HD 13931 b,b
HD 139357 b,b
HD 1397 b,b
HD 14067 b,b
HD 141399 b,b
HD 141399 c,c
HD 141399 d,d
HD 141399 e,e
HD 141937 b,b
HD 142 b,b
HD 142 c,c
HD 142022 A b,b
HD 142245 b,b
HD 142415 b,b
HD 143105 b,b
HD 143361 b,b
HD 145377 b,b
HD 145457 b,b
HD 145934 b,b
HD 1461 b,b
HD 1461 c,c
HD 147018 b,b
HD 147018 c,c
HD 147379 b,b
HD 147513 b,b
HD 14787 b,b
HD 147873 b,b
HD 147873 c,c
HD 148156 b,b
HD 148164 b,b
HD 148164 c,c
HD 148427 b,b
HD 149026 b,b
HD 149143 b,b
HD 1502 b,b
HD 150706 b,b
HD 152079 b,b
HD 152581 b,b
HD 15337 b,b
HD 15337 c,c
HD 153950 b,b
HD 154345 b,b
HD 154672 b,b
HD 154857 b,b
HD 154857 c,c
HD 155233 b,b
HD 155358 b,b
HD 155358 c,c
HD 156279 b,b
HD 156279 c,c
HD 156411 b,b
HD 156668 b,b
HD 156846 b,b
HD 158038 b,b
HD 158259 b,b
HD 158259 c,c
HD 158259 d,d
HD 158259 e,e
HD 158259 f,f
HD 158996 b,b
HD 159243 b,b
HD 159243 c,c
HD 159868 b,b
HD 159868 c,c
HD 1605 b,b
HD 1605 c,c
HD 160691 b,b
HD 160691 c,c
HD 160691 d,d
HD 160691 e,e
HD 16141 b,b
HD 16175 b,b
HD 162020 b,b
HD 163607 b,b
HD 163607 c,c
HD 16417 b,b
HD 164509 b,b
HD 164595 b,b
HD 164604 b,b
HD 164922 b,b
HD 164922 c,c
HD 164922 d,d
HD 165155 b,b
HD 1666 b,b
HD 166724 b,b
HD 167042 b,b
HD 168443 b,b
HD 168443 c,c
HD 168746 b,b
HD 1690 b,b
HD 169830 b,b
HD 169830 c,c
HD 170469 b,b
HD 17092 b,b
HD 171028 b,b
HD 171238 b,b
HD 17156 b,b
HD 173416 b,b
HD 175167 b,b
HD 175541 b,b
HD 175607 b,b
HD 17674 b,b
HD 176986 b,b
HD 176986 c,c
HD 177565 b,b
HD 177830 b,b
HD 177830 c,c
HD 178911 B b,b
HD 179079 b,b
HD 179949 b,b
HD 180053 b,b
HD 18015 b,b
HD 180314 b,b
HD 180617 b,b
HD 180902 b,b
HD 181234 b,b
HD 181342 b,b
HD 181433 b,b
HD 181433 c,c
HD 181433 d,d
HD 181720 b,b
HD 183263 b,b
HD 183263 c,c
HD 183579 b,b
HD 185269 b,b
HD 187085 b,b
HD 187123 b,b
HD 187123 c,c
HD 18742 b,b
HD 188015 b,b
HD 189733 b,b
HD 190007 b,b
HD 190360 b,b
HD 190360 c,c
HD 190647 b,b
HD 190984 b,b
HD 191806 b,b
HD 191939 b,b
HD 191939 c,c
HD 191939 d,d
HD 192263 b,b
HD 192310 b,b
HD 192310 c,c
HD 192699 b,b
HD 195019 b,b
HD 196050 b,b
HD 196067 b,b
HD 196885 A b,b
HD 197037 b,b
HD 19994 b,b
HD 20003 b,b
HD 20003 c,c
HD 200964 b,b
HD 200964 c,c
HD 202206 c,c
HD 202696 b,b
HD 202696 c,c
HD 202772 A b,b
HD 203030 b,b
HD 203473 b,b
HD 2039 b,b
HD 204313 b,b
HD 204313 c,c
HD 204941 b,b
HD 205739 b,b
HD 206255 b,b
HD 206610 b,b
HD 20781 b,b
HD 20781 c,c
HD 20781 d,d
HD 20781 e,e
HD 20782 b,b
HD 207832 b,b
HD 207832 c,c
HD 20794 b,b
HD 20794 c,c
HD 20794 d,d
HD 20794 e,e
HD 208487 b,b
HD 208527 b,b
HD 20868 b,b
HD 208897 b,b
HD 209458 b,b
HD 210193 b,b
HD 210277 b,b
HD 210702 b,b
HD 211810 b,b
HD 211970 b,b
HD 212301 b,b
HD 212771 b,b
HD 213240 b,b
HD 213885 b,b
HD 213885 c,c
HD 21411 b,b
HD 214823 b,b
HD 215152 b,b
HD 215152 c,c
HD 215152 d,d
HD 215152 e,e
HD 215497 b,b
HD 215497 c,c
HD 216435 b,b
HD 216437 b,b
HD 216520 b,b
HD 216520 c,c
HD 216536 b,b
HD 216770 b,b
HD 21693 b,b
HD 21693 c,c
HD 217107 b,b
HD 217107 c,c
HD 21749 c,c
HD 217786 b,b
HD 217850 b,b
HD 218566 b,b
HD 219077 b,b
HD 219134 b,b
HD 219134 c,c
HD 219134 d,d
HD 219134 f,f
HD 219134 g,g
HD 219134 h,h
HD 219415 b,b
HD 219666 b,b
HD 219828 b,b
HD 219828 c,c
HD 220074 b,b
HD 220197 b,b
HD 220689 b,b
HD 220773 b,b
HD 220842 b,b
HD 221287 b,b
HD 221416 b,b
HD 221420 b,b
HD 221585 b,b
HD 222076 b,b
HD 222155 b,b
HD 222582 b,b
HD 224538 b,b
HD 224693 b,b
HD 22781 b,b
HD 23079 b,b
HD 23127 b,b
HD 231701 b,b
HD 233604 b,b
HD 233832 b,b
